table	stage	status	detail
rcasinoscks.accountcf	export	OK	
rcasinoscks.accountcf	import	OK	1
rcasinoscks.accountcf_bank_tester	export	OK	
rcasinoscks.accountcf_bank_tester	import	EMPTY	0
rcasinoscks.accountcf_ext	export	OK	
rcasinoscks.accountcf_ext	import	OK	1
rcasinoscks.bankinfocf	export	OK	
rcasinoscks.bankinfocf	import	OK	3
rcasinoscks.battlegroundcf	export	OK	
rcasinoscks.battlegroundcf	import	OK	8
rcasinoscks.betcftmp	export	OK	
rcasinoscks.betcftmp	import	EMPTY	0
rcasinoscks.blockedcountriescf	export	OK	
rcasinoscks.blockedcountriescf	import	EMPTY	0
rcasinoscks.bonuscf	export	OK	
rcasinoscks.bonuscf	import	OK	1
rcasinoscks.bonuscf_acc	export	OK	
rcasinoscks.bonuscf_acc	import	OK	1
rcasinoscks.cgw_cf	export	OK	
rcasinoscks.cgw_cf	import	EMPTY	0
rcasinoscks.countryrestrictionscf	export	OK	
rcasinoscks.countryrestrictionscf	import	EMPTY	0
rcasinoscks.currencycf	export	OK	
rcasinoscks.currencycf	import	OK	15
rcasinoscks.currencyratesbydatecf	export	OK	
rcasinoscks.currencyratesbydatecf	import	EMPTY	0
rcasinoscks.currencyratescf	export	OK	
rcasinoscks.currencyratescf	import	OK	241
rcasinoscks.currencyratesconfigcf	export	OK	
rcasinoscks.currencyratesconfigcf	import	OK	22
rcasinoscks.delayedmassawardindexcf	export	OK	
rcasinoscks.delayedmassawardindexcf	import	EMPTY	0
rcasinoscks.depositscf	export	OK	
rcasinoscks.depositscf	import	EMPTY	0
rcasinoscks.dlm_cf	export	OK	
rcasinoscks.dlm_cf	import	OK	8
rcasinoscks.dmassawardcf	export	OK	
rcasinoscks.dmassawardcf	import	EMPTY	0
rcasinoscks.dwlcf	export	OK	
rcasinoscks.dwlcf	import	EMPTY	0
rcasinoscks.expiredbonustrackedcf	export	OK	
rcasinoscks.expiredbonustrackedcf	import	OK	2
rcasinoscks.extaccountcf	export	OK	
rcasinoscks.extaccountcf	import	OK	1
rcasinoscks.extgameids	export	OK	
rcasinoscks.extgameids	import	EMPTY	0
rcasinoscks.exttransactioncf	export	OK	
rcasinoscks.exttransactioncf	import	FAIL	
rcasinoscks.frbonuscf	export	OK	
rcasinoscks.frbonuscf	import	OK	4
rcasinoscks.frbonuscf_acc	export	OK	
rcasinoscks.frbonuscf_acc	import	OK	4
rcasinoscks.frbonuswincf	export	OK	
rcasinoscks.frbonuswincf	import	EMPTY	0
rcasinoscks.gameinfocf	export	OK	
rcasinoscks.gameinfocf	import	OK	13
rcasinoscks.gametinfocf	export	OK	
rcasinoscks.gametinfocf	import	OK	9
rcasinoscks.gsessionextprops	export	OK	
rcasinoscks.gsessionextprops	import	OK	32
rcasinoscks.hostcdncf	export	OK	
rcasinoscks.hostcdncf	import	EMPTY	0
rcasinoscks.intsequencercf	export	OK	
rcasinoscks.intsequencercf	import	EMPTY	0
rcasinoscks.lasthand_bonus_cf	export	OK	
rcasinoscks.lasthand_bonus_cf	import	OK	11
rcasinoscks.lasthand_cf	export	OK	
rcasinoscks.lasthand_cf	import	OK	1
rcasinoscks.leaderboardresult	export	OK	
rcasinoscks.leaderboardresult	import	EMPTY	0
rcasinoscks.localizationscf	export	OK	
rcasinoscks.localizationscf	import	EMPTY	0
rcasinoscks.massawardcf	export	OK	
rcasinoscks.massawardcf	import	EMPTY	0
rcasinoscks.massawardrestrictioncf	export	OK	
rcasinoscks.massawardrestrictioncf	import	EMPTY	0
rcasinoscks.mqdata	export	OK	
rcasinoscks.mqdata	import	OK	1
rcasinoscks.mqreservednicknames	export	OK	
rcasinoscks.mqreservednicknames	import	EMPTY	0
rcasinoscks.paymenttransactioncf2	export	OK	
rcasinoscks.paymenttransactioncf2	import	EMPTY	0
rcasinoscks.penddataarchcf	export	OK	
rcasinoscks.penddataarchcf	import	EMPTY	0
rcasinoscks.periodictaskscf	export	OK	
rcasinoscks.periodictaskscf	import	EMPTY	0
rcasinoscks.pgscf	export	OK	
rcasinoscks.pgscf	import	EMPTY	0
rcasinoscks.playeraliascf	export	OK	
rcasinoscks.playeraliascf	import	EMPTY	0
